World Rank,National Rank,Score
1660,3,67.0
1661,3,67.0
1662,11,67.0
1663,11,67.0
1664,38,67.0
1665,9,67.0
1666,45,67.0
1667,230,67.0
1668,29,67.0
1669,7,67.0
1670,51,67.0
1671,40,67.0
1672,310,67.0
1673,311,67.0
1674,87,67.0
1675,2,67.0
1676,101,67.0
1677,46,66.9
1678,3,66.9
1679,36,66.9
1680,32,66.9
1681,231,66.9
1682,47,66.9
1683,14,66.9
1684,312,66.9
1685,232,66.9
1686,70,66.9
1687,12,66.9
1688,88,66.9
1689,313,66.9
1690,45,66.9
1691,46,66.9
1692,233,66.9
1693,102,66.9
1694,314,66.9
1695,11,66.9
1696,1,66.9
1697,315,66.9
1698,48,66.9
1699,49,66.9
1700,1,66.9
1701,35,66.9
1702,316,66.8
1703,12,66.8
1704,234,66.8
1705,53,66.8
1706,30,66.8
1707,2,66.8
1708,39,66.8
1709,235,66.8
1710,50,66.8
1711,61,66.8
1712,317,66.8
1713,12,66.8
1714,236,66.8
1715,318,66.8
1716,4,66.8
1717,7,66.8
1718,319,66.8
1719,237,66.8
1720,103,66.8
1721,320,66.8
1722,41,66.8
1723,54,66.8
1724,9,66.8
1725,321,66.8
1726,89,66.8
1727,104,66.8
1728,68,66.7
1729,322,66.7
1730,2,66.7
1731,13,66.7
1732,71,66.7
1733,55,66.7
1734,2,66.7
1735,37,66.7
1736,5,66.7
1737,12,66.7
1738,62,66.7
1739,72,66.7
1740,42,66.7
1741,105,66.7
1742,47,66.7
1743,106,66.7
1744,323,66.7
1745,1,66.7
1746,238,66.7
1747,9,66.7
1748,107,66.7
1749,10,66.7
1750,73,66.7
1751,56,66.7
1752,108,66.7
1753,36,66.6
1754,239,66.6
1755,74,66.6
1756,69,66.6
1757,3,66.6
1758,37,66.6
1759,38,66.6
1760,63,66.6
1761,109,66.6
1762,324,66.6
1763,38,66.6
1764,240,66.6
1765,241,66.6
1766,242,66.6
1767,51,66.6
1768,75,66.6
1769,43,66.6
1770,1,66.6
1771,243,66.6
1772,48,66.6
1773,64,66.6
1774,57,66.6
1775,244,66.6
1776,110,66.6
1777,52,66.6
1778,325,66.6
1779,31,66.5
1780,326,66.5
1781,15,66.5
1782,44,66.5
1783,13,66.5
1784,245,66.5
1785,7,66.5
1786,33,66.5
1787,34,66.5
1788,35,66.5
1789,49,66.5
1790,90,66.5
1791,31,66.5
1792,6,66.5
1793,111,66.5
1794,39,66.5
1795,246,66.5
1796,327,66.5
1797,112,66.5
1798,247,66.5
1799,328,66.5
1800,32,66.5
1801,248,66.5
1802,15,66.5
1803,3,66.5
1804,50,66.5
1805,7,66.4
1806,40,66.4
1807,45,66.4
1808,113,66.4
1809,36,66.4
1810,114,66.4
1811,16,66.4
1812,3,66.4
1813,51,66.4
1814,249,66.4
1815,6,66.4
1816,1,66.4
1817,3,66.4
1818,329,66.4
1819,1,66.4
1820,14,66.4
1821,9,66.4
1822,8,66.4
1823,250,66.4
1824,8,66.4
1825,7,66.4
1826,8,66.4
1827,46,66.4
1828,251,66.4
1829,115,66.4
1830,76,66.4
1831,52,66.4
1832,2,66.3
1833,53,66.3
1834,37,66.3
1835,330,66.3
1836,116,66.3
1837,13,66.3
1838,331,66.3
1839,91,66.3
1840,17,66.3
1841,40,66.3
1842,54,66.3
1843,55,66.3
1844,77,66.3
1845,332,66.3
1846,252,66.3
1847,39,66.3
1848,56,66.3
1849,65,66.3
1850,117,66.3
1851,52,66.3
1852,1,66.3
1853,9,66.3
1854,47,66.3
1855,41,66.3
1856,48,66.3
1857,78,66.3
1858,57,66.3
1859,14,66.2
1860,9,66.2
1861,2,66.2
1862,333,66.2
1863,253,66.2
1864,42,66.2
1865,38,66.2
1866,16,66.2
1867,79,66.2
1868,334,66.2
1869,39,66.2
1870,3,66.2
1871,53,66.2
1872,1,66.2
1873,58,66.2
1874,10,66.2
1875,58,66.2
1876,335,66.2
1877,254,66.2
1878,33,66.2
1879,41,66.2
1880,10,66.2
1881,17,66.2
1882,15,66.2
1883,11,66.2
1884,336,66.2
1885,32,66.2
1886,33,66.1
1887,255,66.1
1888,18,66.1
1889,337,66.1
1890,92,66.1
1891,59,66.1
1892,34,66.1
1893,49,66.1
1894,256,66.1
1895,50,66.1
1896,51,66.1
1897,35,66.1
1898,43,66.1
1899,9,66.1
1900,118,66.1
1901,60,66.1
1902,12,66.1
1903,257,66.1
1904,258,66.1
1905,259,66.1
1906,93,66.1
1907,1,66.1
1908,338,66.1
1909,54,66.1
1910,119,66.1
1911,40,66.1
1912,14,66.1
1913,260,66.0
1914,120,66.0
1915,121,66.0
1916,61,66.0
1917,261,66.0
1918,9,66.0
1919,262,66.0
1920,59,66.0
1921,34,66.0
1922,1,66.0
1923,44,66.0
1924,16,66.0
1925,70,66.0
1926,339,66.0
1927,263,66.0
1928,10,66.0
1929,45,66.0
1930,52,66.0
1931,264,66.0
1932,60,66.0
1933,53,66.0
1934,265,66.0
1935,2,66.0
1936,17,66.0
1937,54,66.0
1938,2,66.0
1939,340,66.0
1940,4,66.0
1941,55,65.9
1942,122,65.9
1943,35,65.9
1944,1,65.9
1945,55,65.9
1946,42,65.9
1947,62,65.9
1948,266,65.9
1949,8,65.9
1950,13,65.9
1951,63,65.9
1952,267,65.9
1953,341,65.9
1954,5,65.9
1955,94,65.9
1956,123,65.9
1957,268,65.9
1958,342,65.9
1959,4,65.9
1960,64,65.9
1961,269,65.9
1962,66,65.9
1963,95,65.9
1964,270,65.9
1965,36,65.9
1966,6,65.9
1967,2,65.9
1968,271,65.8
1969,19,65.8
1970,15,65.8
1971,4,65.8
1972,18,65.8
1973,37,65.8
1974,17,65.8
1975,38,65.8
1976,10,65.8
1977,272,65.8
1978,46,65.8
1979,65,65.8
1980,66,65.8
1981,343,65.8
1982,124,65.8
1983,5,65.8
1984,273,65.8
1985,67,65.8
1986,14,65.8
1987,274,65.8
1988,39,65.8
1989,344,65.8
1990,345,65.8
1991,346,65.8
1992,2,65.8
1993,347,65.8
1994,68,65.8
1995,2,65.8
1996,56,65.8
1997,275,65.7
1998,276,65.7
1999,53,65.7
2000,277,65.7
